id,name,club,year,page,region_for_year,points,elo,tournaments,regions_seen,region_by_year_full,last_seen_region,last_seen_year,last_seen_page
264,ДаФомин,,2024,1,,,,,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
264,ДаФомин,,2025,1,all|central,336,2835,32,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
721,Insight,,2022,1,,,,,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
721,Insight,,2023,1,,,,,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
721,Insight,,2024,1,,,,,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
721,Insight,,2025,1,all|central,300,2910,18,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
1681,Просто Толя,,2022,1,,,,,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
1681,Просто Толя,,2023,1,,,,,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
1681,Просто Толя,,2024,1,,,,,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
1681,Просто Толя,,2025,1,all|central,241,2687,24,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
259,Варик,,2022,1,,,,,all,"{""2025"": ""all""}",all,2025,1
259,Варик,,2023,1,,,,,all,"{""2025"": ""all""}",all,2025,1
259,Варик,,2024,1,,,,,all,"{""2025"": ""all""}",all,2025,1
259,Варик,,2025,1,all,237,2798,14,all,"{""2025"": ""all""}",all,2025,1
1361,Natumba,,2022,1,central,5,2282,0,central,"{""2022"": ""central""}",central,2022,1
1361,Natumba,,2023,1,,,,,central,"{""2022"": ""central""}",central,2022,1
1361,Natumba,,2024,1,,,,,central,"{""2022"": ""central""}",central,2022,1
1361,Natumba,,2025,1,,,,,central,"{""2022"": ""central""}",central,2022,1
10,Mavl,,2022,1,central,0,1000,0,central,"{""2022"": ""central""}",central,2022,1
10,Mavl,,2023,1,,,,,central,"{""2022"": ""central""}",central,2022,1
10,Mavl,,2024,1,,,,,central,"{""2022"": ""central""}",central,2022,1
10,Mavl,,2025,1,,,,,central,"{""2022"": ""central""}",central,2022,1
15,Ардыльян,,2022,1,central,0,2620,0,central,"{""2022"": ""central""}",central,2022,1
15,Ардыльян,,2023,1,,,,,central,"{""2022"": ""central""}",central,2022,1
15,Ардыльян,,2024,1,,,,,central,"{""2022"": ""central""}",central,2022,1
15,Ардыльян,,2025,1,,,,,central,"{""2022"": ""central""}",central,2022,1
